what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1269283845544
opened,view,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui.TypeHierarchy",1269283856371
activated,view,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui.TypeHierarchy",1269283856395
executed,command,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui.edit.text.script.open.type.hierarchy",1269283856985
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1269283862520
closed,view,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui.TypeHierarchy",1269283862587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283881338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283974676
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1269283975089
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1269283975115
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1269283975253
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1269283975321
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1269283975480
started,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1269283975496
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.v200909181641,"org.eclipse.mtj.core.hooks",1269283975623
started,bundle,org.eclipse.mtj.core,1.1.0.v200909181641,"org.eclipse.mtj.core",1269283975630
started,bundle,org.eclipse.mtj.ui,1.1.0.v200909181641,"org.eclipse.mtj.ui",1269283975720
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1269283976212
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1269283976255
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1269283976299
started,bundle,org.eclipse.birt.report.debug.ui,2.5.2.v20100127,"org.eclipse.birt.report.debug.ui",1269283976471
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283988576
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283991902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283998005
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284010603
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1269284019804
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284037101
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284038667
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1269284038689
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269284038689
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284046003
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284120180
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284126239
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284129188
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1269284129213
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284132958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284157605
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1269284157611
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284163878
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284192647
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284192671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284192671
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1269284192818
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1269284192836
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284229072
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284237399
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284244312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284245972
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1269284245997
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269284245997
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284249535
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284309336
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284309366
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284309366
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284313444
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284319461
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284327717
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284354891
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284354923
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1269284354923
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269284365822
